numero	classe	numero_processo	menções	primeira_linha	contexto
1	ADI	4425	30	11085	A CF de 1988 não fixou um intervalo temporal mínimo entre os dois turnos de votação para fins de aprovação de emendas à Constituição (CF, art. 60, § 2
2	ADI	3105	20	1625	[ADI 3.105, rel. min. Ellen Gracie, red. do ac. min. Cezar Peluso, j. 18-8-2004, P, DJ de 18-2-2005.]
3	PET	3388	19	132	As "terras indígenas" versadas pela CF de 1988 fazem parte de um território estatal-brasileiro sobre o qual incide, com exclusividade, o direito nacio
4	ADPF	130	18	622	[ADPF 130, rel. min. Ayres Britto, j. 30-4-2009, P, DJE de 6-11-2009.]
5	MS	26604	16	5610	Inaplicabilidade da regra de perda do mandato por infidelidade partidária ao sistema eleitoral majoritário. (...) As decisões no MS 26.602, no MS 26.6
6	ADPF	153	13	123	Lei 6.683/1979, a chamada "Lei de Anistia". (...) princípio democrático e princípio republicano: não violação. (...) No Estado Democrático de Direito,
7	ADC	4	13	258	Importância do controle jurisdicional da razoabilidade das leis restritivas do poder cautelar deferido aos juízes e tribunais. Inocorrência de qualque
8	ADI	4364	13	450	A lei impugnada realiza materialmente o princípio constitucional da isonomia, uma vez que o tratamento diferenciado aos trabalhadores agraciados com a
9	ADI	2238	12	245	Ação Direta de Inconstitucionalidade. Lei Complementar 101/2000. Lei de Responsabilidade Fiscal (LRF). (...) A norma estabelecida no § 3º do referido 
10	ADI	3395	12	8666	Direito de greve dos servidores públicos civis (CF, art. 37, VII). Evolução do tema na jurisprudência do STF. (...) Apesar das modificações implementa
11	AP	470	11	293	A Constituição não submete a decisão do Poder Judiciário à complementação por ato de qualquer outro órgão ou Poder da República. Não há sentença juris
12	ADI	4414	11	1454	[ADI 4.414, rel. min. Luiz Fux, j. 31-5-2012, P, DJE de 17-6-2013.]
13	ADI	4167	11	7178	[ADI 4.167, rel. min. Joaquim Barbosa, j. 27-4-2011, P, DJE de 24-8-2011.]
14	ADI	3510	10	160	A pesquisa científica com células-tronco embrionárias, autorizada pela Lei 11.105/2005, objetiva o enfrentamento e cura de patologias e traumatismos q
